IMAGEM;PAGINA;FRASE
 page-1.png;1;Uma folha caiu no chão, no meio das formigas. Para elas, o mundo começou a acabar. Para mim, começava.
 im.png;2;O destino era ser um Visconde de Sabugosa, mas nunca passou de um sabugo.
 page-2.png;3;Os dias voam sobre mim com fúria, arracam com seus dentes afiadosde momentos, o pouco que me resta de futuro.
 page-3.png;4;"O ""Homo Hades"", é esse que morre e mata por nada. Essa nova espécie nasce na cidade, no meio de armas e gangs, tráfico e guerra."
 page-4.png;5;Quando todos se tornarem cropólitos, será difícil distinguir monge de bandido,  gênio de idiota. A arqueologia não saberá nos classificar.
 page-5.png;6;Narcotráfico  é a visão de mundo fundada na certeza da morte de si mesmo e do outro como fundamento trivial e cotidiano da vida.
 page-6.png;7;Um, dois, três, quatro, muitos, se resume a matemática de alguns povos tradicionais. Nossos  números,  contam além de  trilhões. Penso, como são sábios os selvagens! Aqui a vida morre aos poucos.
 page-7.png;8;Viro rápido para o lado e sempre vejo alguém que foge do meu olhar, se escondendo. Sempre sinto alguém próximo, muito próximo, perto de mim.
 page-8.png;9;Todo mendigo me pesa, vejo no seu olhar a clara certeza de que, de algum modo, ele acha que sou causa da sua desgraça. É possível.
 page-9.png;10;Do beijo ao calor da sua boca ao movimento da sua língua até uma dimensão de prazer esquizomente completo de pele e gozo.
 page- 10.png;11;Olho as pessoas na rua, correndo para algum destino e sinto inveja desses que são movidos por horários, como um destino.
 page- 11.png;12;Por acaso,  escolhi apostar diariamente nas coincidências, para aumentar meu estoque de sortes.
 page-12.png;13;Hoje tive  sensação de que já vivi essa segunda-feira muitas outras vezes. Lembrei de Nietzsche, esse sujeito que me deixou cicatrizes.
 page-13.png;14;Pode sonhar, o mais belo e maravilhoso, mesmo assim haverá um momento,  que lhe dará a emoção de estar  muito além.
 page-14.png;15;Pode imaginar o que há de pior, o maior dos horrores, mesmo assim a vida irá te surpreender com sua realidade.
 page-15.png;16;Mira, veja, tem mais vazio nos seus olhos do que aquele ermo de sertão aberto pela porteira.
 page-16.png;17;Tempo, foi o que restou do esforço que fiz para encontrar alguma coisa sólida escondida no meio da minha mais forte angústia.
 page-17.png;18;Busco ter aquela mirada para o  absoluto,  que Rilke via no fundo dos olhos dos animais.
 page-18.png;19;"Toda música de domingo diz de um silêncio e de um ""nada fazer"" que me faz lembrar dos tempos do nada."
 page-19.png;20;A morte me espia, dizia o poeta, sem saber que lhe atraio, com esse ar fingido de medo e desafio.
 page-20.png;21;Pode olhar em volta, 80% do que é visto só existe na sua cabeça - normalmente. Ou seja, somos fadados a nós mesmos.
 page-21.png;22;Paulo Volker é apenas a forma mais ignorante  para denominar um redemoinho de poeira que aprendeu com Sócrates as virtudes  do não-saber.
page22-b.jpg;23;Sou discípulo de Hypatia, devoto de Sophia, amante de Metáfora, iniciado de Isis, curioso de Dionísio e vivente de Gaia.
 page-23.png;24;Das duas, uma: ou Tchuang-tse é uma borboleta ou  a borboleta é Tchuang-tse. Mas o  fato é, o efeito das suas asas hoje sacodem o mundo.
 page-24.png;25;Todo pensamento gravita em torno de uma paixão.
 page-25.png;26;O paraíso é qualquer situação antes do inferno. Antes que piore, pelo menos se comporte como se habitasse o paraíso. O inferno nos espia.
page-25-b.jpg;27;O acaso, o inédito e a coincidência são os três ângulos do triângulo do mistério que comanda nossas vidas.
 page-26.png;28;O sino da curva de Gauss veste como uma saia o corpo  do comportamento de massa. Abaixo da cintura tudo acontece  dentro da curva normal.
 page-27.png;29;A morte de Wilson Martins me pesou mais que todos os volumes da fantástica Historia da Inteligência Brasileira.
 page-28.png;30;A saída foi olhar para o sol. A luz era mais suave que o seu olhar.
 page-29.png;31;Os ácaros,  que habitam a sua sobrancelha,  são convictos de que o aumento da temperatura do seu corpo é causada por eles.
 page-30.png;32;"Disse Cleóbulo de Trindos, 600 ac, ""nada no passado explicará o futuro e todo futuro enterra, aos poucos,  suas causas""."
 page-31.png;33;"O ""não-aprender"" é o verdadeiro objeto de toda teoria do conhecimento e das teorias da educação. Não-aprender é contrário à natureza humana."
 page-32.png;34;Esse vasto e belo mundo, cantado em versos e prosas ... Tem mosquitos!
 page-33.png;35;"Em ""O Diabo e o Bom Deus"", Sartre coloca o problema do engano sobre o absoluto. Prova que, dos enganos, esse é o mais absoluto e fácil de se ter."
 page-34.png;36;"O ""Sétimo Selo"" (Bergman) é um modo de dizer, do modo como a midia consegue, como chegamos aqui. E esquecemos ..."
 page-35.png;37;Acreditar em deus, seria como chamar de chuva a gota de suor que pinga do seu rosto.
 page-36.png;38;Se vai a palavra, vai a imagem e o som, tudo vai pelas vias do vento.
 page-37.png;39;Ouvir o fado de Cristina Branco em Düsseldorf, foi como sombrear uma alegria com antigas lembranças de tristezas. Não foi ruim, foi estranho.
 page-38.png;40;Sonhei em Frankfurt que sonhava e,  no sonho, essa vida era um sonho do qual acabara de acordar.
page-38-b.jpg;41;Em Heidelberg, no Philosophenweg, o passeio dos filósofos, vi a sombra de Goethe, com os manuscritos de Werther,  debaixo do braço.
page-38-c.jpg;42;Na beira do embarque, Frankfurt aparece como o próximo copo de vinho. Nem sei se será merlo ou pinot. Sei que será ...
 page-39.png;43;Entre católicos e muçulmanos, com suas absolutas certezas, fico com as sequências infinitas de perguntas não respondidas do Tao.
;44;Dos mundos vivos, o menos vivido, se refere  aquele perdido,  nas fronteiras dos sonhos destruídos.
 page-40.png;45;Ha formas mais simples de viver do que encher pulmões de oxigênio.
 page-41.png;46;Indo, às  4 da manha para Asuncion, esse lugar que passou a me devanear.
 page-42.png;47;O corpo humano carrega a inteligência, sabedoria e uma imensa capacidade para o vício e a demência. Entre uma coisa e outra, basta um cheiro
 page-43.png;48;A morte é para quem fica, que ainda leva de prêmio,  o cadáver, a ausência, a falta e aquele vazio que o morto ocupava.
 page-44.png;49;Arequipa jazz sobre as lagrimas de fogo de três vulcões.
page-45.png;50;Miraflores sob ventos de neblinas frias e cantos incas.
 page-46.png;51;Guarrulhos me parece incomodamente familiar.
 page-47.png;52;La Paz nos coloca mais rente ao céu, mas não tira nossos pés da miséria humana.
 page-48.png;53;Qualquer conhecimento, que possa ser adquirido na experiência aberta de uma vida, poderá ser muito além, ou muito aguém,  do humano.
 page-49.png;54;"Qualquer conhecimento, que possa ser ministrado ""entre quatro paredes"", será sempre muito menos que humano."
 page-50.png;55;O Paraguai nos coloca sempre, nos detalhes, sinais discretos de um passado sinistro.
 page-51.png;56;Pela Teoria dos Erros, sou  apenas a eventualidade menos provável de um fluxo caático.
 page-52.png;57;O acaso e a necessidade, ao contrario do que pensava Monod, não são os fatores essenciais da vida. A essência é o inédito. (de Vitória-ES)
 page-53.png;58;No fundo de todo sentimento mora uma proteína.
 page-54.png;59;Toda imagem é um texto, um significado através de formas, cores e figuras. Toda imagem alude, tanto quanto ilude.
 page-55.png;60;Um dia, um lance de dados: a mesa, um óvulo, o dado, um esperma.
 page-56.png;61;Disso aqui, na sua frente, essa pergunta ambulante, que sou eu.
 page-57.png;62;Foco na mirada, seja na simplicidade de um ponto, que não se abre para nada, seja para a imensa porteira das viagens, com suas surpresas.
 page-58.png;63;Depois, tive gosto pela escrita, como uma secreção, dolorida, sangrada pelas emoções e dores do mundo.
 page-59.png;64;Já fui de tudo, tudo. Como aquele comprade-meu-Quelemem, tive gosto pela palavra dita, confessada, quase que assoprada em segredos.
 page-60.png;65;Hoje vi nuvens voando sobre minha cabeça, indo para algum lugar que me chama, mas que nunca estarei. É lá que voce se esconde ?
 page-61.png;66;Em Lima, não se pode pensar que os Incas estejam para além de um olhar crítico. Há algo de pouco humano nas suas obras.
 page-22.png;67;Estou sempre como Finnegans, acordando... Joyce me deu esse presente. Descreveu no seu livro como me sinto. Nunca acordado, em lusco-fusco.
 page-62.png;68;Cada frase me sai como escama, curtida no tempo e nas arranhadas da vida. Cada frase que sai, me deixa uma ferida.
page-62-b.jpg;69;O texto segrega do meu corpo como suor
 page-63.png;70;Heráclito, o filósofo do Panta Rei, a eterna transformação, dedicou toda a sua vida para entender a essência da realidade: a permanência.
 page-64.png;71;Zenão, mesmo vendo o tempo dividido, percebeu que, ainda assim, caberá infinitos entre seus instantes.
 page-65.png;72;Zenão de Éleia teve a genial intuição de perceber que o tempo é passível de ser dividido, só esqueceu de combinar com o infinito.
 page-66.png;73;Nenhuma mudança na Terra é só climática ou biológica, é também mudança na hidrosfera e, em última instância, da litosfera. Quem já estava e quem vai ficar, manda.
 page-67.png;74;Fadados a ver o sol nascer todos dias. Fadados a encher de ar os pulmões. Fadados a engolir e defecar. O humano é um ser enfado de fadados.
 page-68.png;75;Em 2007, foram abatidas 192 milhões de cabeças de gado em todo o mundo. Cada boi gera 24 litros de sangue.
 page-69.png;76;O planeta produz 24 horas de vazão de sangue de boi, em um rio como o Tietê, todos os anos. São quase 5 trilhões de m3 de sangue, ano.
 page-70.png;77;Os humanos abatem 400 bilhões de animais ano (porcos, bois e aves), 1 bilhão por dia, 19 mil por hora. 5 animais são abatidos por segundo.
 page-71.png;78;Para cada 10 pessoas que morrem, nascem 23. O humano é um animal reprodutor, fadado à multiplicação.
;79;O tempo é apenas um sub-produto da velocidade. Pare, que o tempo deixará de existir!
 page-72.png;80;"A Terra nos coloca viajando, constantemente, a uma velocidade de 108 000 km por hora, em torno do sol, que gira em torno da galáxia, que gira em torno do ""Grupo Local"".  Essa é a origem disso que conhecemos como tempo."
 page-73.png;81;Um único segundo  foi o bastante. Colocou no seu devido lugar o olhar : no horizonte, por onde se movem os futuros - para além das vidas.
 page-74.png;82;Nonada, a náusea de um ser, sem nada. Essas eram as quatro paredes que uniram Roquentin e Riobaldo.
 page-75.png;83;Para Hamlet não ser não era uma questão, mas um modo de ser.
 page-76.png;84;Todo sagrado é um lance de dados, um dia tentou dizer Mallarmé.
 page-77.png;85;O sagrado se dá sempre a-posteriori, nunca a´priori.
 page-78.png;86;A atmosfera, plena de buracos de ventos e abismos de tempestades. Aviões irão cair.
 page-79.png;87;O ar em que os aviões voavam, não é mais o mesmo ar. A estrada da atmosfera, por onde rolam as aeronaves, se tornou esburacada, tortuosa ...
 page-80.png;88;Em um milhão de anos, essencialmente, nada mudou no cérebro humano. Somos como éramos.
 page-81.png;89;As vezes, não será uma brisa que lhe trará arrepio, mas o ciclone que lhe derruba.
 page-82.png;90;Uma febre leve me toma. É como se um pouco do sol da tarde se perdesse em mim.
 page-83.png;91;Na rua, as coisas acontecem como se a realidade fosse destituída de qualquer mediação. Tudo  se torna duro como asfalto.
 page-84.png;92;Ontem a vida correu como uma cobra rastejante, que se esconde nas moitas, enquanto passa o perigo.
 page-85.png;2;Hoje, a vida correu como uma gota de orvalho  que se arrasta pela pétala de uma folha, com preguiça de cair no chão.
 page-86.png;;Nem sempre as coisas são como se pensa e sempre não se pensa como as coisas são.
 page-87.png;;Se ficar, nenhum bicho irá te comer, se correr, nenhum bicho irá te pegar. O bicho é você mesmo.
 page-88.png;;Se algum dia você conseguir abrir os olhos para vida e ver realmente o que ela é, não se surpreenda se enchegar exatamente o que ela sempre foi.
 page-89.png;;Se, como dizia Bento Espinoza, a alegria é a pasagem do ser para um estágio superior, a inferioridade do mundo chegou a níveis alarmantes. 
 page-90.png;;Quanto mais imutável, dizia Platão, mais poderoso e precioso. É importante lembrar, quanto mais poderoso e precioso, mais invisível e impalpável. 
page-91.png;;Humanidade é a idéia mais irreal e falaciosa inventada por uma pessoa - típico do ser humano.  
